scenario,month,perc_fs,perc_fs_beneficiaries,perc_stamps
A,M7,-0.0214851055553062,0.1379013120790014,0.1032453448027528
A,M8,-0.0212038201305308,0.1379013120790014,0.1032453448027528
A,M9,-0.0216171824513536,0.1379013120790014,0.1032453448027528
A,M10,-0.0212591216307184,0.1379013120790014,0.1032453448027528
A,M11,-0.0210717464198704,0.1379013120790014,0.1032453448027528
A,M12,-0.021027015038991,0.1379013120790014,0.1032453448027528
A,M13,-0.021194466422115,0.1379013120790014,0.1032453448027528
A,M14,-0.0210843373493979,0.1379013120790014,0.1032453448027528
A,M15,-0.0206377186986606,0.1379013120790014,0.1032453448027528
A,M16,-0.0205380843118734,0.1379013120790014,0.1032453448027528
A,M17,-0.0203185087861389,0.1379013120790014,0.1032453448027528
A,M18,-0.020320228443221,0.1379013120790014,0.1032453448027528
A,M19,-0.0203311649556575,0.1379013120790014,0.1032453448027528
A,M20,-0.0202717904873331,0.1379013120790014,0.1032453448027528
A,M21,-0.0203666537668865,0.1379013120790014,0.1032453448027528
A,M22,-0.0205894087613351,0.1379013120790014,0.1032453448027528
A,M23,-0.0204853361173111,0.1379013120790014,0.1032453448027528
A,M24,-0.0205805944538436,0.1379013120790014,0.1032453448027528
F + G,M7,-0.0306974770370791,0.1466475800866021,0.1415419017558181
F + G,M8,-0.030839198523768,0.1466475800866021,0.1415419017558181
F + G,M9,-0.0306598693185895,0.1466475800866021,0.1415419017558181
F + G,M10,-0.0303307736056744,0.1466475800866021,0.1415419017558181
F + G,M11,-0.030858209473623,0.1466475800866021,0.1415419017558181
F + G,M12,-0.0306610366490605,0.1466475800866021,0.1415419017558181
F + G,M13,-0.0308337638050644,0.1466475800866021,0.1415419017558181
F + G,M14,-0.0307416913243209,0.1466475800866021,0.1415419017558179
F + G,M15,-0.0307979605385804,0.1466475800866021,0.1415419017558181
F + G,M16,-0.0308592743469245,0.1466475800866021,0.1415419017558181
F + G,M17,-0.0306149997300259,0.1466475800866021,0.1415419017558181
F + G,M18,-0.0306269781474279,0.1466475800866021,0.1415419017558181
F + G,M19,-0.0305773152196229,0.1466475800866021,0.1415419017558181
F + G,M20,-0.0304884783578029,0.1466475800866021,0.1415419017558179
F + G,M21,-0.0307082961407837,0.1466475800866021,0.1415419017558181
F + G,M22,-0.0307431887928115,0.1466475800866021,0.1415419017558181
F + G,M23,-0.0306013915525046,0.1466475800866021,0.1415419017558181
F + G,M24,-0.0306690141997388,0.1466475800866021,0.1415419017558181
F,M7,-0.0427430641982463,0.2897108744000936,0.2947024172781425
F,M8,-0.0423355161095416,0.2897108744000936,0.2947024172781425
F,M9,-0.0423686495166356,0.2897108744000936,0.2947024172781425
F,M10,-0.0422930329223247,0.2897108744000936,0.2947024172781425
F,M11,-0.0419563446109887,0.2897108744000936,0.2947024172781427
F,M12,-0.0419652096298806,0.2897108744000936,0.2947024172781425
F,M13,-0.0416718432254644,0.2897108744000936,0.2947024172781425
F,M14,-0.0416046819571369,0.2897108744000936,0.2947024172781427
F,M15,-0.0416231967478508,0.2897108744000936,0.2947024172781425
F,M16,-0.0416078724892329,0.2897108744000936,0.2947024172781427
F,M17,-0.0415121136310458,0.2897108744000936,0.2947024172781425
F,M18,-0.0415234056407829,0.2897108744000936,0.2947024172781425
F,M19,-0.0417831900426395,0.2897108744000936,0.2947024172781425
F,M20,-0.0416071801123322,0.2897108744000936,0.2947024172781425
F,M21,-0.0417781079539833,0.2897108744000936,0.2947024172781425
F,M22,-0.0419271414978638,0.2897108744000936,0.2947024172781427
F,M23,-0.0419903913495964,0.2897108744000936,0.2947024172781425
F,M24,-0.0422130517166334,0.2897108744000936,0.2947024172781425
C + F,M7,-0.0387859020203378,0.1073308290679237,0.1755545085914777
C + F,M8,-0.0385206474662197,0.1073308290679237,0.1755545085914777
C + F,M9,-0.0383587436075408,0.1073308290679237,0.1755545085914777
C + F,M10,-0.0381460438277086,0.1073308290679237,0.1755545085914777
C + F,M11,-0.0378074835863922,0.1073308290679237,0.1755545085914777
C + F,M12,-0.0378702055348759,0.1073308290679237,0.1755545085914777
C + F,M13,-0.0376477498861158,0.1073308290679237,0.1755545085914777
C + F,M14,-0.0376031489140647,0.1073308290679237,0.1755545085914777
C + F,M15,-0.0374860596467243,0.1073308290679237,0.1755545085914777
C + F,M16,-0.0375869188124558,0.1073308290679237,0.1755545085914777
C + F,M17,-0.0372943451541748,0.1073308290679237,0.1755545085914777
C + F,M18,-0.0373649842375381,0.1073308290679237,0.1755545085914777
C + F,M19,-0.0373662758788225,0.1073308290679237,0.1755545085914777
C + F,M20,-0.0372936947206849,0.1073308290679237,0.1755545085914777
C + F,M21,-0.0375263620518451,0.1073308290679237,0.1755545085914777
C + F,M22,-0.0375110119163678,0.1073308290679237,0.1755545085914777
C + F,M23,-0.0375576995384038,0.1073308290679237,0.1755545085914777
C + F,M24,-0.0376223446168365,0.1073308290679237,0.1755545085914777
C + D + E,M7,-0.0550383769469009,0.3059921466804295,0.411054486521332
C + D + E,M8,-0.0549667684569789,0.3059921466804295,0.411054486521332
C + D + E,M9,-0.0547766927550797,0.3059921466804295,0.411054486521332
C + D + E,M10,-0.0547522237481039,0.3059921466804295,0.411054486521332
C + D + E,M11,-0.0545761828135811,0.3059921466804295,0.411054486521332
C + D + E,M12,-0.0544856233478984,0.3059921466804295,0.411054486521332
C + D + E,M13,-0.0541609724519883,0.3059921466804295,0.411054486521332
C + D + E,M14,-0.0545675238266505,0.3059921466804295,0.411054486521332
C + D + E,M15,-0.0541335395906034,0.3059921466804295,0.411054486521332
C + D + E,M16,-0.0543483151122511,0.3059921466804295,0.411054486521332
C + D + E,M17,-0.0541566926441204,0.3059921466804295,0.411054486521332
C + D + E,M18,-0.0541892755266408,0.3059921466804295,0.411054486521332
C + D + E,M19,-0.0541014728772836,0.3059921466804295,0.411054486521332
C + D + E,M20,-0.0539801106961257,0.3059921466804295,0.411054486521332
C + D + E,M21,-0.0539000836985776,0.3059921466804295,0.411054486521332
C + D + E,M22,-0.0538981433983997,0.3059921466804295,0.411054486521332
C + D + E,M23,-0.0538195694434448,0.3059921466804295,0.411054486521332
C + D + E,M24,-0.053880629252313,0.3059921466804295,0.411054486521332
C + D,M7,-0.0548588356748508,0.3508560969640216,0.3770952661941084
C + D,M8,-0.0546434345248788,0.3508560969640216,0.3770952661941084
C + D,M9,-0.0547407912687588,0.3508560969640216,0.3770952661941084
C + D,M10,-0.0546175871323297,0.3508560969640216,0.3770952661941084
C + D,M11,-0.0540188243331925,0.3508560969640216,0.3770952661941084
C + D,M12,-0.0540090989192789,0.3508560969640216,0.3770952661941084
C + D,M13,-0.0538912464935624,0.3508560969640216,0.3770952661941084
C + D,M14,-0.0538392375472037,0.3508560969640216,0.3770952661941084
C + D,M15,-0.0533061121703783,0.3508560969640216,0.3770952661941084
C + D,M16,-0.0533135375894188,0.3508560969640216,0.3770952661941084
C + D,M17,-0.0531937870088725,0.3508560969640216,0.3770952661941084
C + D,M18,-0.0531274464811169,0.3508560969640216,0.3770952661941084
C + D,M19,-0.0531837362676906,0.3508560969640216,0.3770952661941084
C + D,M20,-0.0531341403050889,0.3508560969640216,0.3770952661941084
C + D,M21,-0.053126096856354,0.3508560969640216,0.3770952661941084
C + D,M22,-0.053151182987301,0.3508560969640216,0.3770952661941084
C + D,M23,-0.0532705738354099,0.3508560969640216,0.3770952661941084
C + D,M24,-0.0534756470715285,0.3508560969640216,0.3770952661941084
C,M7,-0.06054131693523,0.3508199163589542,0.4575217795206038
C,M8,-0.0600952038800074,0.3508199163589542,0.4575217795206038
C,M9,-0.0603234723917569,0.3508199163589542,0.4575217795206038
C,M10,-0.0603620827386883,0.3508199163589542,0.4575217795206038
C,M11,-0.0601497676174718,0.3508199163589542,0.4575217795206038
C,M12,-0.0602668536800274,0.3508199163589542,0.4575217795206038
C,M13,-0.0601578795943318,0.3508199163589542,0.4575217795206038
C,M14,-0.0603398669304087,0.3508199163589542,0.4575217795206038
C,M15,-0.0599974817426341,0.3508199163589542,0.4575217795206038
C,M16,-0.0599991001934589,0.3508199163589542,0.4575217795206038
C,M17,-0.0598801317470883,0.3508199163589542,0.4575217795206038
C,M18,-0.0601553149942863,0.3508199163589542,0.4575217795206038
C,M19,-0.0603546782073539,0.3508199163589542,0.4575217795206038
C,M20,-0.0602708905188321,0.3508199163589542,0.4575217795206038
C,M21,-0.0601819769063926,0.3508199163589542,0.4575217795206038
C,M22,-0.060440796637778,0.3508199163589542,0.4575217795206038
C,M23,-0.0603445172438626,0.3508199163589542,0.4575217795206038
C,M24,-0.0604773389970841,0.3508199163589542,0.4575217795206038
G,M7,-0.0609175375098442,0.4030335599296898,0.5281031968545387
G,M8,-0.0607639172395771,0.4030335599296898,0.5281031968545387
G,M9,-0.0607926395425497,0.4030335599296898,0.5281031968545387
G,M10,-0.0607749683603949,0.4030335599296898,0.5281031968545387
G,M11,-0.0607937536622616,0.4030335599296898,0.5281031968545387
G,M12,-0.0609771448094804,0.4030335599296898,0.5281031968545387
G,M13,-0.0608714273570773,0.4030335599296898,0.5281031968545387
G,M14,-0.0606986970950292,0.4030335599296898,0.5281031968545387
G,M15,-0.0602648421837548,0.4030335599296898,0.5281031968545387
G,M16,-0.060340208673317,0.4030335599296898,0.5281031968545387
G,M17,-0.0602384602672572,0.4030335599296898,0.5281031968545387
G,M18,-0.0603303777182783,0.4030335599296898,0.5281031968545387
G,M19,-0.0603914858253864,0.4030335599296898,0.5281031968545387
G,M20,-0.0601792573623559,0.4030335599296898,0.5281031968545387
G,M21,-0.0601868859138484,0.4030335599296898,0.5281031968545387
G,M22,-0.0601389035472023,0.4030335599296898,0.5281031968545387
G,M23,-0.059924793328926,0.4030335599296898,0.5281031968545387
G,M24,-0.0599749974637477,0.4030335599296898,0.5281031968545387
D + E,M7,-0.0575699088828043,0.3694997499281709,0.4528768427656252
D + E,M8,-0.0571582539967667,0.3694997499281709,0.4528768427656252
D + E,M9,-0.0567692252459254,0.3694997499281709,0.4528768427656252
D + E,M10,-0.0566550879177099,0.3694997499281709,0.4528768427656252
D + E,M11,-0.0568775339584138,0.3694997499281709,0.4528768427656252
D + E,M12,-0.0573537609465756,0.3694997499281709,0.4528768427656252
D + E,M13,-0.0572538301086092,0.3694997499281709,0.4528768427656252
D + E,M14,-0.0572109332853806,0.3694997499281709,0.4528768427656252
D + E,M15,-0.0567507284958809,0.3694997499281709,0.4528768427656252
D + E,M16,-0.0566968101858099,0.3694997499281709,0.4528768427656252
D + E,M17,-0.0564064721657277,0.3694997499281709,0.4528768427656252
D + E,M18,-0.0564749075398865,0.3694997499281709,0.4528768427656252
D + E,M19,-0.0565397730851246,0.3694997499281709,0.4528768427656252
D + E,M20,-0.0565180218692344,0.3694997499281709,0.4528768427656252
D + E,M21,-0.0564920396353264,0.3694997499281709,0.4528768427656252
D + E,M22,-0.0566609969671605,0.3694997499281709,0.4528768427656252
D + E,M23,-0.0567535459716329,0.3694997499281709,0.4528768427656252
D + E,M24,-0.056796500953958,0.3694997499281709,0.4528768427656252
D,M7,-0.0730014812154942,0.4264097134283252,0.5627141268151084
D,M8,-0.0732620801149633,0.4264097134283252,0.5627141268151084
D,M9,-0.0730954261506423,0.4264097134283252,0.5627141268151084
D,M10,-0.0728294333593631,0.4264097134283252,0.5627141268151084
D,M11,-0.0727622506495023,0.4264097134283252,0.5627141268151084
D,M12,-0.0726474977971987,0.4264097134283252,0.5627141268151084
D,M13,-0.072196648205423,0.4264097134283252,0.5627141268151084
D,M14,-0.0721542887969794,0.4264097134283252,0.5627141268151084
D,M15,-0.0715275029679461,0.4264097134283252,0.5627141268151084
D,M16,-0.0716515949070951,0.4264097134283252,0.5627141268151084
D,M17,-0.0714170011338883,0.4264097134283252,0.5627141268151084
D,M18,-0.0715204852018824,0.4264097134283252,0.5627141268151084
D,M19,-0.0716284426369629,0.4264097134283252,0.5627141268151084
D,M20,-0.0717094901678443,0.4264097134283252,0.5627141268151084
D,M21,-0.0718187790807555,0.4264097134283252,0.5627141268151084
D,M22,-0.0718521918338322,0.4264097134283252,0.5627141268151084
D,M23,-0.0717654258765931,0.4264097134283252,0.5627141268151084
D,M24,-0.0719518341192982,0.4264097134283252,0.5627141268151084
E,M7,-0.0067866600834863,0.0260244963979015,0.0371364837796704
E,M8,-0.0063589006646312,0.0260244963979015,0.0371364837796704
E,M9,-0.0063276369641703,0.0260244963979015,0.0371364837796704
E,M10,-0.0061484054536803,0.0260244963979015,0.0371364837796704
E,M11,-0.0064545707890214,0.0260244963979015,0.0371364837796704
E,M12,-0.0064195932459407,0.0260244963979015,0.0371364837796704
E,M13,-0.0061857153132411,0.0260244963979015,0.0371364837796704
E,M14,-0.0062938320445963,0.0260244963979015,0.0371364837796704
E,M15,-0.0061067741123141,0.0260244963979015,0.0371364837796704
E,M16,-0.0061636748099158,0.0260244963979015,0.0371364837796704
E,M17,-0.0059214197008692,0.0260244963979015,0.0371364837796704
E,M18,-0.0060470264287452,0.0260244963979015,0.0371364837796704
E,M19,-0.0060012776333193,0.0260244963979015,0.0371364837796704
E,M20,-0.0059757908473201,0.0260244963979015,0.0371364837796704
E,M21,-0.0059758984097275,0.0260244963979015,0.0371364837796704
E,M22,-0.0060926770881137,0.0260244963979015,0.0371364837796704
E,M23,-0.0061019511843905,0.0260244963979015,0.0371364837796704
E,M24,-0.0061287303358648,0.0260244963979015,0.0371364837796704
B,M7,0.0,0.0,0.0
B,M8,0.0,0.0,0.0
B,M9,0.0,0.0,0.0
B,M10,0.0,0.0,0.0
B,M11,0.0,0.0,0.0
B,M12,0.0,0.0,0.0
B,M13,0.0,0.0,0.0
B,M14,0.0,0.0,0.0
B,M15,0.0,0.0,0.0
B,M16,0.0,0.0,0.0
B,M17,0.0,0.0,0.0
B,M18,0.0,0.0,0.0
B,M19,0.0,0.0,0.0
B,M20,0.0,0.0,0.0
B,M21,0.0,0.0,0.0
B,M22,0.0,0.0,0.0
B,M23,0.0,0.0,0.0
B,M24,0.0,0.0,0.0
